2021-01-04,85001,85002,$28.32,ABC Hauling
2021-01-04,85001,85004,$25.68,ABC Hauling
2021-01-04,85001,85007,19.86,ABC Hauling
2021-01-04,85001,85007,20.52,Haul Today
2021-01-04,85001,85010,20.72,Haul Today
2021-01-04,85001,85012,$18.98,ABC Hauling
2021-01-04,85001,85013,26.64,Haul Today
2021-01-04,85001,85020,26.34,ABC Hauling
2021-01-04,85001,85021,$20.15,ABC Hauling
2021-01-04,85002,85001,21.57,Haul Today
2021-01-04,85002,85004,21.40,Haul Today
2021-01-04,85002,85007,25.93,Haul Today
2021-01-04,85002,85010,19.80,Haul Today
2021-01-04,85002,85012,21.66,Haul Today
2021-01-04,85002,85013,$25.90,Haul Today
2021-01-04,85002,85020,19.15,ABC Hauling
2021-01-04,85002,85021,$27.13,Haul Today
2021-01-04,85004,85001,23.88,Haul Today
2021-01-04,85004,85002,26.40,ABC Hauling
2021-01-04,85004,85007,26.03,ABC Hauling
2021-01-04,85004,85010,23.38,ABC Hauling
2021-01-04,85004,85012,25.60,ABC Hauling
2021-01-04,85004,85013,23.58,Haul Today
2021-01-04,85004,85020,26.71,Haul Today
2021-01-04,85004,85021,$27.15,ABC Hauling
2021-01-04,85007,85001,$19.96,ABC Hauling
2021-01-04,85007,85002,22.89,ABC Hauling
2021-01-04,85007,85004,24.49,ABC Hauling
2021-01-04,85007,85010,26.94,ABC Hauling
2021-01-04,85007,85012,21.51,Haul Today
2021-01-04,85007,85013,23.93,Haul Today
2021-01-04,85007,85020,19.23,ABC Hauling
2021-01-04,85007,85021,19.70,Haul Today
2021-01-04,85010,85001,27.81,ABC Hauling
2021-01-04,85010,85002,$18.05,Haul Today
2021-01-04,85010,85004,23.47,ABC Hauling
2021-01-04,85010,85007,27.78,ABC Hauling
2021-01-04,85010,85007,18.25,ABC Hauling
2021-01-04,85010,85012,18.94,Haul Today
2021-01-04,85010,85013,$28.55,Haul Today
2021-01-04,85010,85020,27.34,Haul Today
2021-01-04,85010,85021,23.76,ABC Hauling
2021-01-04,85012,85001,27.56,ABC Hauling
2021-01-04,85012,85002,23.52,Haul Today
2021-01-04,85012,85004,$19.29,ABC Hauling
2021-01-04,85012,85007,27.16,ABC Hauling
2021-01-04,85012,85010,24.64,Haul Today
2021-01-04,85012,85013,$20.60,Haul Today
2021-01-04,85012,85020,23.15,Haul Today
2021-01-04,85012,85021,$21.93,Haul Today
2021-01-04,85013,85001,24.88,ABC Hauling
2021-01-04,85013,85002,27.62,ABC Hauling
2021-01-04,85013,85004,22.10,Haul Today
2021-01-04,85013,85007,$21.50,ABC Hauling
2021-01-04,85013,85010,27.22,ABC Hauling
2021-01-04,85013,85012,23.15,Haul Today
2021-01-04,85013,85020,$20.66,Haul Today
2021-01-04,85013,85021,$21.15,Haul Today
2021-01-04,85020,85001,$21.65,Haul Today
2021-01-04,85020,85002,24.15,Haul Today
2021-01-04,85020,85004,27.82,Haul Today
2021-01-04,85020,85007,$18.67,Haul Today
2021-01-04,85020,85010,24.03,ABC Hauling
2021-01-04,85020,85012,26.77,Haul Today
2021-01-04,85020,85013,21.17,ABC Hauling
2021-01-04,85020,85021,27.52,ABC Hauling
2021-01-04,85021,85001,28.58,Haul Today
2021-01-04,85021,85002,21.65,Haul Today
2021-01-04,85021,85004,23.39,Haul Today
2021-01-04,85021,85007,22.44,ABC Hauling
2021-01-04,85021,85010,21.73,Haul Today
2021-01-04,85021,85012,26.23,ABC Hauling
2021-01-04,85021,85013,24.61,Haul Today
2021-01-04,85021,85020,20.01,Haul Today
2021-01-11,85001,85002,$20.27,ABC Hauling
2021-01-11,85001,85004,26.23,ABC Hauling
2021-01-11,85001,85007,22.82,ABC Hauling
2021-01-11,85001,85010,25.32,ABC Hauling
2021-01-11,85001,85012,20.86,Haul Today
2021-01-11,85001,85013,28.30,Haul Today
2021-01-11,85001,85020,25.37,ABC Hauling
2021-01-11,85001,85021,24.85,ABC Hauling
2021-01-11,85002,85001,$25.99,ABC Hauling
2021-01-11,85002,85001,28.48,ABC Hauling
2021-01-11,85002,85004,28.92,ABC Hauling
2021-01-11,85002,85007,$18.12,Haul Today
2021-01-11,85002,85010,18.76,Haul Today
2021-01-11,85002,85012,22.29,ABC Hauling
2021-01-11,85002,85013,25.62,Haul Today
2021-01-11,85002,85020,$28.68,Haul Today
2021-01-11,85002,85020,27.03,Haul Today
2021-01-11,85002,85021,$28.56,Haul Today
2021-01-11,85004,85001,22.93,ABC Hauling
2021-01-11,85004,85001,25.06,ABC Hauling
2021-01-11,85004,85002,28.74,ABC Hauling
2021-01-11,85004,85007,$26.17,Haul Today
2021-01-11,85004,85010,24.11,ABC Hauling
2021-01-11,85004,85012,$21.76,ABC Hauling
2021-01-11,85004,85013,21.60,ABC Hauling
2021-01-11,85004,85020,21.67,Haul Today
2021-01-11,85004,85021,22.40,Haul Today
2021-01-11,85007,85001,$23.12,Haul Today
2021-01-11,85007,85002,18.21,Haul Today
2021-01-11,85007,85004,24.50,ABC Hauling
2021-01-11,85007,85010,21.57,ABC Hauling
2021-01-11,85007,85012,20.69,Haul Today
2021-01-11,85007,85012,25.30,Haul Today
2021-01-11,85007,85013,28.52,Haul Today
2021-01-11,85007,85020,$19.80,Haul Today
2021-01-11,85007,85021,26.16,ABC Hauling
2021-01-11,85010,85001,$18.52,ABC Hauling
2021-01-11,85010,85002,26.83,ABC Hauling
2021-01-11,85010,85004,28.26,Haul Today
2021-01-11,85010,85007,22.38,Haul Today
2021-01-11,85010,85012,24.37,ABC Hauling
2021-01-11,85010,85013,24.17,ABC Hauling
2021-01-11,85010,85020,18.38,ABC Hauling
2021-01-11,85010,85021,23.16,ABC Hauling
2021-01-11,85012,85001,$19.28,ABC Hauling
2021-01-11,85012,85002,24.36,ABC Hauling
2021-01-11,85012,85004,$28.51,ABC Hauling
2021-01-11,85012,85007,19.53,Haul Today
2021-01-11,85012,85010,28.49,ABC Hauling
2021-01-11,85012,85013,20.45,ABC Hauling
2021-01-11,85012,85020,22.34,ABC Hauling
2021-01-11,85012,85021,23.38,Haul Today
2021-01-11,85013,85001,$18.74,Haul Today
2021-01-11,85013,85002,21.01,ABC Hauling
2021-01-11,85013,85004,$21.27,ABC Hauling
2021-01-11,85013,85007,25.93,ABC Hauling
2021-01-11,85013,85010,20.34,ABC Hauling
